Nº  da AF,Tipo,Nome do Fornecedor,Filial,A.F. Principal,"Tem
Filha",Fornecedor,Nome da Filial,Comprador,Nome do Comprador,Un. Compr.,"Dados
Repres.","Data da
AF","Dt. Últ.
Receb.","Cond.
Pag.",Unidade,"Desconto
 (R$/%)","Outras
Despesas","Valor Total
Pedido (R$)",ST,Autoriz,Origem,Origem,Dev,"Impressa/
Enviada",Transp. 1,Cond. Pag T1,Frete T1,Transp 2,Cond. Pag. T2,Frete T2,"Fnt.
Recurso","Tipo Frete
Interno","Guia
Importação","Núm.
Contrato","Núm.
Licitação",Multa Atraso,Qtd dias,Ind. Data Base,Autorizador,Moeda,"Data de
Validade","Código
Referência",Val. Tot. Financeiro,Valor Total Integral,"Recebto
Confirmado",Modalidade,Modalidade,XML Gerado,Aceita,Data Aceite,Total Valor Pendente,Total Qtde. Pendente
00003367,N,CONDOMINIO THE PLACE BUSINESS CENTER,016,00003367,N,8268,C.E.S.A.R - NORTE,25,VICTOR SOUZA,,Não,1/3/2022,1/3/2022,00,001,0,0,"497,8",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"497,8","497,8",Não,00000001,Padrão,,S,1/3/2022,0,0
00003368,N,CONDOMINIO THE PLACE BUSINESS CENTER,016,00003368,N,8268,C.E.S.A.R - NORTE,25,VICTOR SOUZA,,Não,1/3/2022,1/3/2022,00,001,0,0,"497,8",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"497,8","497,8",Não,00000001,Padrão,,S,1/3/2022,0,0
00003369,N,CONDOMINIO THE PLACE BUSINESS CENTER,016,00003369,N,8268,C.E.S.A.R - NORTE,25,VICTOR SOUZA,,Não,1/3/2022,1/3/2022,00,001,0,0,"497,8",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"497,8","497,8",Não,00000001,Padrão,,S,1/3/2022,0,0
00003370,N,CONDOMINIO THE PLACE BUSINESS CENTER,016,00003370,N,8268,C.E.S.A.R - NORTE,25,VICTOR SOUZA,,Não,1/3/2022,1/3/2022,00,001,0,0,609,R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,609,609,Não,00000001,Padrão,,S,1/3/2022,0,0
00003371,N,CONDOMINIO THE PLACE BUSINESS CENTER,016,00003371,N,8268,C.E.S.A.R - NORTE,25,VICTOR SOUZA,,Não,1/3/2022,1/3/2022,00,001,0,0,"502,89",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"502,89","502,89",Não,00000001,Padrão,,S,1/3/2022,0,0
00003372,N,CONDOMINIO THE PLACE BUSINESS CENTER,016,00003372,N,8268,C.E.S.A.R - NORTE,25,VICTOR SOUZA,,Não,1/3/2022,1/3/2022,00,001,0,0,"502,89",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"502,89","502,89",Não,00000001,Padrão,,S,1/3/2022,0,0
00003373,N,CONDOMINIO THE PLACE BUSINESS CENTER,016,00003373,N,8268,C.E.S.A.R - NORTE,25,VICTOR SOUZA,,Não,1/3/2022,1/3/2022,00,001,0,0,"603,75",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"603,75","603,75",Não,00000001,Padrão,,S,1/3/2022,0,0
00003374,N,UBER DO BRASIL TECNOLOGIA LTDA.,016,00003374,N,10038,C.E.S.A.R - NORTE,25,VICTOR SOUZA,,Não,1/3/2022,12/30/2021,08,001,0,0,"3.780,50",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"3.780,50","3.780,50",Não,00000001,Padrão,,S,1/3/2022,0,0
00003375,N,TELEFONICA BRASIL S.A,016,00003375,N,11212,C.E.S.A.R - NORTE,25,VICTOR SOUZA,,Não,1/3/2022,12/30/2021,00,001,0,0,809,R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,809,809,Não,00000001,Padrão,,S,1/3/2022,0,0
00003376,N,TELEFONICA BRASIL S.A,016,00003376,N,11212,C.E.S.A.R - NORTE,25,VICTOR SOUZA,,Não,1/3/2022,12/30/2021,00,001,0,0,50,R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,50,50,Não,00000001,Padrão,,S,1/3/2022,0,0
00003377,N,PATRIMONIAL PARTICIPAÇÕES E EMPREENDIMENTOS LTDA,016,00003377,N,8283,C.E.S.A.R - NORTE,25,VICTOR SOUZA,,Não,1/4/2022,12/30/2021,00,001,0,0,"15.438,11",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"15.438,11","15.438,11",Não,00000001,Padrão,,S,1/4/2022,0,0
00003378,N,WALESWSKA TELLES DE SOUZA PINHEIRO,016,00003378,N,10710,C.E.S.A.R - NORTE,25,VICTOR SOUZA,,Não,1/4/2022,12/30/2021,00,001,0,0,"21.930,08",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"21.930,08","21.930,08",Não,00000001,Padrão,,S,1/4/2022,0,0
00003379,N,AMAZONAS ENERGIA S.A,016,00003379,N,6899,C.E.S.A.R - NORTE,25,VICTOR SOUZA,,Não,1/4/2022,12/1/2021,00,001,0,0,"62,35",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"62,35","62,35",Não,00000001,Padrão,,S,1/4/2022,0,0
00003380,N,AMAZONAS ENERGIA S.A,016,00003380,N,6899,C.E.S.A.R - NORTE,25,VICTOR SOUZA,,Não,1/4/2022,12/1/2021,00,001,0,0,"220,75",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"220,75","220,75",Não,00000001,Padrão,,S,1/4/2022,0,0
00003381,N,AMAZONAS ENERGIA S.A,016,00003381,N,6899,C.E.S.A.R - NORTE,25,VICTOR SOUZA,,Não,1/4/2022,12/1/2021,00,001,0,0,"380,95",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"380,95","380,95",Não,00000001,Padrão,,S,1/4/2022,0,0
00003382,N,AMAZONAS ENERGIA S.A,016,00003382,N,6899,C.E.S.A.R - NORTE,25,VICTOR SOUZA,,Não,1/4/2022,12/1/2021,00,001,0,0,"234,46",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"234,46","234,46",Não,00000001,Padrão,,S,1/4/2022,0,0
00003383,N,AMAZONAS ENERGIA S.A,016,00003383,N,6899,C.E.S.A.R - NORTE,25,VICTOR SOUZA,,Não,1/4/2022,12/1/2021,00,001,0,0,"2.702,16",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"2.702,16","2.702,16",Não,00000001,Padrão,,S,1/4/2022,0,0
00003384,N,AMAZONAS ENERGIA S.A,016,00003384,N,6899,C.E.S.A.R - NORTE,25,VICTOR SOUZA,,Não,1/4/2022,12/1/2021,00,001,0,0,"62,35",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"62,35","62,35",Não,00000001,Padrão,,S,1/4/2022,0,0
00003385,N,AMAZONAS ENERGIA S.A,016,00003385,N,6899,C.E.S.A.R - NORTE,25,VICTOR SOUZA,,Não,1/4/2022,12/1/2021,00,001,0,0,"117,23",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"117,23","117,23",Não,00000001,Padrão,,S,1/4/2022,0,0
00003386,N,CLARO S.A,016,00003386,N,10792,C.E.S.A.R - NORTE,25,VICTOR SOUZA,,Não,1/4/2022,12/30/2021,00,001,0,0,"119,91",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"119,91","119,91",Não,00000001,Padrão,,S,1/4/2022,0,0
00003387,N,AGIS EQUIPAMENTOS E SERVICOS DE INFORMATICA LTDA,016,00003387,N,11422,C.E.S.A.R - NORTE,34,ALINE DAVINO DA SILVA ,,Não,1/5/2022,12/28/2021,15,001,0,0,"333,9",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"333,9","333,9",Não,00000001,Padrão,,S,1/5/2022,0,0
00003388,N,INFO STORE COMPUTADORES DA AMAZONIA LTDA,016,00003388,N,8959,C.E.S.A.R - NORTE,33,JAINA DA SILVA RODRIGUES,,Não,1/6/2022,12/14/2021,15,001,0,0,"129,5",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"129,5","129,5",Não,00000001,Padrão,,S,1/6/2022,0,0
00003389,N,CENTRO DE EST. E SIST. AVANC. RECIFE,016,00003389,N,2006,C.E.S.A.R - NORTE,25,VICTOR SOUZA,,Não,1/7/2022,12/30/2021,15,001,0,0,"3.757,70",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"3.757,70","3.757,70",Não,00000001,Padrão,,S,1/7/2022,0,0
00003390,N,CENTRO DE EST. E SIST. AVANC. RECIFE,016,00003390,N,2006,C.E.S.A.R - NORTE,25,VICTOR SOUZA,,Não,1/7/2022,12/30/2021,15,001,0,0,"110,34",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"110,34","110,34",Não,00000001,Padrão,,S,1/7/2022,0,0
00003391,N,CENTRO DE EST. E SIST. AVANC. RECIFE,016,00003391,N,2006,C.E.S.A.R - NORTE,25,VICTOR SOUZA,,Não,1/7/2022,12/30/2021,15,001,0,0,"6.525,90",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"6.525,90","6.525,90",Não,00000001,Padrão,,S,1/8/2022,0,0
00003392,N,AMAZONAS ENERGIA S.A,016,00003392,N,6899,C.E.S.A.R - NORTE,25,VICTOR SOUZA,,Não,1/10/2022,1/10/2022,00,001,0,0,"107,19",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"107,19","107,19",Não,00000001,Padrão,,S,1/10/2022,0,0
00003393,N,TELEFONICA BRASIL S.A,016,00003393,N,11212,C.E.S.A.R - NORTE,25,VICTOR SOUZA,,Não,1/10/2022,1/10/2022,00,001,0,0,"1.899,89",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"1.899,89","1.899,89",Não,00000001,Padrão,,S,1/10/2022,0,0
00003394,N,FIT IN COMPANY TREINAMENTOS ESPORTIVOS - EIRELI - ME,016,00003394,N,8043,C.E.S.A.R - NORTE,25,VICTOR SOUZA,,Não,1/10/2022,1/10/2022,00,001,0,0,"1.786,00",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"1.786,00","1.786,00",Não,00000001,Padrão,,S,1/10/2022,0,0
00003395,N,ASSOCIACAO POLO DIGITAL DE MANAUS,016,00003395,N,10445,C.E.S.A.R - NORTE,25,VICTOR SOUZA,,Não,1/10/2022,1/10/2022,00,001,0,0,"2.000,00",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"2.000,00","2.000,00",Não,00000001,Padrão,,S,1/10/2022,0,0
00003396,N,B2W COMPANHIA DIGITAL,016,00003396,N,8730,C.E.S.A.R - NORTE,33,JAINA DA SILVA RODRIGUES,,Não,1/10/2022,,08,001,0,0,"9.700,85",A,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"9.700,85","9.700,85",Não,00000001,Padrão,,S,1/10/2022,"9.700,85",1
00003397,N,B2W COMPANHIA DIGITAL,016,00003397,N,8730,C.E.S.A.R - NORTE,33,JAINA DA SILVA RODRIGUES,,Não,1/10/2022,,08,001,0,0,"10.124,51",A,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"10.124,51","10.124,51",Não,00000001,Padrão,,S,1/10/2022,"10.124,51",1
00003398,N,B2W COMPANHIA DIGITAL,016,00003398,N,8730,C.E.S.A.R - NORTE,33,JAINA DA SILVA RODRIGUES,,Não,1/10/2022,,08,001,0,0,"4.453,49",A,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"4.453,49","4.453,49",Não,00000001,Padrão,,S,1/10/2022,"4.453,49",1
00003399,N,DISTEK COMÉRCIO DE EQUIPAMENTOS DE COMUNICACAO LTDA,016,00003399,N,11276,C.E.S.A.R - NORTE,33,JAINA DA SILVA RODRIGUES,,Não,1/10/2022,1/31/2022,30,001,0,0,600,R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,600,600,Não,00000001,Padrão,,S,1/10/2022,0,0
00003400,N,AOVS SISTEMAS DE INFORMATICA LTDA,016,00003400,N,4520,C.E.S.A.R - NORTE,34,ALINE DAVINO DA SILVA ,,Não,1/10/2022,1/31/2022,15,001,0,0,"1.800,00",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"1.800,00","1.800,00",Não,00000001,Padrão,,S,1/10/2022,0,0
00003401,N,JONES LOPES DA SILVA 00003054217,016,00003401,N,11113,C.E.S.A.R - NORTE,33,JAINA DA SILVA RODRIGUES,,Não,1/13/2022,1/19/2022,05,001,0,0,710,R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,710,710,Não,00000001,Padrão,,S,1/13/2022,0,0
00003402,N,CLARO S/A,016,00003402,N,1473,C.E.S.A.R - NORTE,25,VICTOR SOUZA,,Não,1/19/2022,1/19/2022,00,001,0,0,"657,56",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"657,56","657,56",Não,00000001,Padrão,,S,1/19/2022,0,0
00003403,N,OI S.A. - EM RECUPERACAO JUDICIAL,016,00003403,N,10990,C.E.S.A.R - NORTE,25,VICTOR SOUZA,,Não,1/19/2022,1/19/2022,00,001,0,0,"3.696,96",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"3.696,96","3.696,96",Não,00000001,Padrão,,S,1/19/2022,0,0
00003404,N,CENTRO DE INTEGRACAO EMPRESA ESCOLA CIEE,016,00003404,N,10256,C.E.S.A.R - NORTE,25,VICTOR SOUZA,,Não,1/19/2022,1/19/2022,00,001,0,0,910,R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,910,910,Não,00000001,Padrão,,S,1/19/2022,0,0
00003405,N,GRAFER COMERCIO DE MAQUINAS E FERRAMENTAS LTDA ,016,00003405,N,11440,C.E.S.A.R - NORTE,33,JAINA DA SILVA RODRIGUES,,Não,1/19/2022,1/20/2022,00,001,0,0,"309,89",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"309,89","309,89",Não,00000001,Padrão,,S,1/19/2022,0,0
00003406,N,LOCALIZA RENT A CAR S/A,016,00003406,N,10695,C.E.S.A.R - NORTE,33,JAINA DA SILVA RODRIGUES,,Não,1/20/2022,1/31/2022,20,001,0,0,"805,39",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"805,39","805,39",Não,00000001,Padrão,,S,1/20/2022,0,0
00003407,N,LOCALIZA RENT A CAR S/A,016,00003407,N,10695,C.E.S.A.R - NORTE,33,JAINA DA SILVA RODRIGUES,,Não,1/20/2022,1/31/2022,20,001,0,0,"436,73",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"436,73","436,73",Não,00000001,Padrão,,S,1/20/2022,0,0
00003408,N,DELL COMPUTADORES DO BRASIL LTDA,016,00003408,N,8905,C.E.S.A.R - NORTE,33,JAINA DA SILVA RODRIGUES,,Não,1/20/2022,,00,001,0,0,"1.186,56",A,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"1.186,56","1.186,56",Não,00000001,Padrão,,S,1/20/2022,"1.186,56",4
00003409,N,KALUNGA SA,016,00003409,N,5981,C.E.S.A.R - NORTE,33,JAINA DA SILVA RODRIGUES,,Não,1/20/2022,1/20/2022,00,001,0,0,"129,8",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"129,8","129,8",Não,00000001,Padrão,,S,1/20/2022,0,0
00003410,N,ISSOTELECOM LTDA,016,00003410,N,10836,C.E.S.A.R - NORTE,33,JAINA DA SILVA RODRIGUES,,Não,1/20/2022,1/3/2022,00,001,0,0,"1.860,00",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"1.860,00","1.860,00",Não,00000001,Padrão,,S,1/20/2022,0,0
00003411,N,IBAZAR.COM ATIVIDADES DE INTERNET LTDA.,016,00003411,N,11450,C.E.S.A.R - NORTE,33,JAINA DA SILVA RODRIGUES,,Não,1/20/2022,1/20/2022,00,001,0,0,"368,53",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"368,53","368,53",Não,00000001,Padrão,,S,1/20/2022,0,0
00003412,N,STARHOUSE INFORMATICA EIRELI,016,00003412,N,11199,C.E.S.A.R - NORTE,33,JAINA DA SILVA RODRIGUES,,Não,1/21/2022,1/20/2022,00,001,0,0,"69,76",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"69,76","69,76",Não,00000001,Padrão,,S,1/21/2022,0,0
00003413,N,OFICINA DOS BITS,016,00003413,N,8628,C.E.S.A.R - NORTE,33,JAINA DA SILVA RODRIGUES,,Não,1/21/2022,,00,001,0,0,"496,06",A,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"496,06","496,06",Não,00000001,Padrão,,S,1/21/2022,"496,06",1
00003414,N,COMERCIAL LUZIA MEIRE DE GENEROS ALIMENTICIOS LTDA,016,00003414,N,11457,C.E.S.A.R - NORTE,33,JAINA DA SILVA RODRIGUES,,Não,1/23/2022,1/20/2022,00,001,0,"62,27","193,26",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"193,26","193,26",Não,00000001,Padrão,,S,1/23/2022,0,0
00003415,N,PINA CASA DE CHA LTDA,016,00003415,N,11456,C.E.S.A.R - NORTE,33,JAINA DA SILVA RODRIGUES,,Não,1/23/2022,1/20/2022,00,001,0,0,266,R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,266,266,Não,00000001,Padrão,,S,1/23/2022,0,0
00003416,N,GTMAX3D EQUIPAMENTOS ELETRÔNICOS E MATERIAIS PLASTICOS LTDA.,016,00003416,N,11455,C.E.S.A.R - NORTE,33,JAINA DA SILVA RODRIGUES,,Não,1/23/2022,1/20/2022,00,001,0,0,"359,61",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"359,61","359,61",Não,00000001,Padrão,,S,1/23/2022,0,0
00003417,N,GLOBAL DISTRIBUIÇÃO DE BENS DE CONSUMO LTDA,016,00003417,N,8977,C.E.S.A.R - NORTE,33,JAINA DA SILVA RODRIGUES,,Não,1/23/2022,1/20/2022,00,001,0,0,209,R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,209,209,Não,00000001,Padrão,,S,1/23/2022,0,0
00003418,N,T MARTINE BRAZ,016,00003418,N,11454,C.E.S.A.R - NORTE,33,JAINA DA SILVA RODRIGUES,,Não,1/24/2022,1/20/2022,00,001,0,0,"239,6",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"239,6","239,6",Não,00000001,Padrão,,S,1/24/2022,0,0
00003419,N,T MARTINE BRAZ,016,00003419,N,11454,C.E.S.A.R - NORTE,33,JAINA DA SILVA RODRIGUES,,Não,1/24/2022,1/20/2022,00,001,0,0,"119,8",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"119,8","119,8",Não,00000001,Padrão,,S,1/24/2022,0,0
00003420,N,SUPERMERCADOS DB LTDA,016,00003420,N,10754,C.E.S.A.R - NORTE,33,JAINA DA SILVA RODRIGUES,,Não,1/24/2022,1/20/2022,00,001,0,0,"148,92",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"148,92","148,92",Não,00000001,Padrão,,S,1/24/2022,0,0
00003421,N,SUPERMERCADOS DB LTDA,016,00003421,N,10754,C.E.S.A.R - NORTE,33,JAINA DA SILVA RODRIGUES,,Não,1/24/2022,1/20/2022,00,001,0,0,"150,63",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"150,63","150,63",Não,00000001,Padrão,,S,1/24/2022,0,0
00003422,N,DHL WORLDWIDE EXPRESS BRASIL LTDA,016,00003422,N,960,C.E.S.A.R - NORTE,33,JAINA DA SILVA RODRIGUES,,Não,1/24/2022,1/20/2022,00,001,0,0,"7.093,97",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"7.093,97","7.093,97",Não,00000001,Padrão,,S,1/24/2022,0,0
00003423,N,MIR IMPORTAÇAO E EXPORTAÇAO LTDA,016,00003423,N,7320,C.E.S.A.R - NORTE,33,JAINA DA SILVA RODRIGUES,,Não,1/24/2022,1/20/2022,00,001,"82,4",0,"1.565,60",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"1.565,60","1.565,60",Não,00000001,Padrão,,S,1/24/2022,0,0
00003424,N,MAXMIX COMERCIAL LTDA,016,00003424,N,11459,C.E.S.A.R - NORTE,33,JAINA DA SILVA RODRIGUES,,Não,1/25/2022,1/20/2022,00,001,0,0,"299,99",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"299,99","299,99",Não,00000001,Padrão,,S,1/25/2022,0,0
00003425,N,L. J GUERRA E CIA LTDA,016,00003425,N,7861,C.E.S.A.R - NORTE,33,JAINA DA SILVA RODRIGUES,,Não,1/25/2022,1/28/2022,30,001,0,0,"327,54",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"327,54","327,54",Não,00000001,Padrão,,S,1/25/2022,0,0
00003426,N,INFO STORE COMPUTADORES DA AMAZONIA LTDA,016,00003426,N,8959,C.E.S.A.R - NORTE,33,JAINA DA SILVA RODRIGUES,,Não,1/25/2022,1/31/2022,00,001,54,0,"1.025,70",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"1.025,70","1.025,70",Não,00000001,Padrão,,S,1/25/2022,0,0
00003427,N,AMAZON.COM,016,00003427,N,6741,C.E.S.A.R - NORTE,33,JAINA DA SILVA RODRIGUES,,Não,1/25/2022,1/20/2022,00,001,0,"731,87","12.811,62",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"12.811,62","12.811,62",Não,00000001,Padrão,,S,1/25/2022,0,0
00003429,N,AMAZON.COM,016,00003429,N,6741,C.E.S.A.R - NORTE,33,JAINA DA SILVA RODRIGUES,,Não,1/27/2022,1/20/2022,00,001,0,0,"15.765,57",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"15.765,57","15.765,57",Não,00000001,Padrão,,S,1/27/2022,0,0
